UNIPROT,Category of binding
Q15056,Ambiguous
O95801,Ambiguous
Q01433,Ambiguous
Q14103,Ambiguous
Q58FF6,Ambiguous
P40227,Ambiguous
Q5JUR7,Ambiguous
Q13136,Ambiguous
P02545,Ambiguous
P40306,Ambiguous
O75419,Ambiguous
Q8WVM8,Ambiguous
Q32P44,Ambiguous
O94916,Ambiguous
P34897,Ambiguous
Q9H1Z4,Ambiguous
O15355,Ambiguous
Q9Y4E8,Ambiguous
Q13573,Ambiguous
O43379,Ambiguous
Q9Y5B6,Ambiguous
Q86U42,Ambiguous
O14744,Ambiguous
Q13098,Ambiguous
P27361,Ambiguous
O96019,Ambiguous
Q6IN85,Ambiguous
Q7L5D6,Ambiguous
Q13616,Ambiguous
Q8IYT4,Ambiguous
Q8WUI4,Ambiguous
Q6YHU6,Ambiguous
Q13107,Ambiguous
Q9H0L4,Ambiguous
O14777,Ambiguous
Q92574,Ambiguous
Q9H269,Ambiguous
O75436,Ambiguous
P10155,Ambiguous
Q13671,Ambiguous
Q9HC35,Ambiguous
Q86VP1,Ambiguous
O43447,Ambiguous
Q9NPD3,Ambiguous
Q9NYL9,Ambiguous
Q8IW41,Ambiguous
P42025,Ambiguous
Q96FZ2,Ambiguous
O60610,Ambiguous
O76071,Ambiguous
Q9NQG5,Ambiguous
Q99627,Ambiguous
Q12874,Ambiguous
Q9Y4X5,Ambiguous
Q15172,Ambiguous
Q9BQ61,Ambiguous
Q9NUL5,Ambiguous
Q9Y2Z0,Ambiguous
Q8N5M4,Ambiguous
Q13610,Ambiguous
O60343,Ambiguous
Q14746,Ambiguous
O95219,Ambiguous
P53396,Ambiguous
Q3MHD2,Ambiguous
P42704,Ambiguous
Q86UA1,Ambiguous
P22626,Ambiguous
Q8NEM2,Ambiguous
O43242,Ambiguous
O75663,Ambiguous
Q9H3U1,Ambiguous
P30990,Ambiguous
Q96Q15,Ambiguous
P27348,Ambiguous
P17987,Ambiguous
P38606,Ambiguous
Q9UBB4,Ambiguous
Q8N0X7,Ambiguous
P04040,Ambiguous
Q15637,Ambiguous
Q13432,Ambiguous
P05549,Ambiguous
P17066,Ambiguous
P55072,Ambiguous
P06748,Ambiguous
O95352,Ambiguous
Q7L576,Ambiguous
P21127,Ambiguous
Q8IZP0,Ambiguous
Q709C8,Ambiguous
Q9Y5B9,Ambiguous
O60333,Ambiguous
O75940,Ambiguous
O43502,Ambiguous
Q9UPT9,Ambiguous
Q86X27,Ambiguous
P78371,Ambiguous
Q7L2H7,Ambiguous
Q5JVF3,Ambiguous
Q92890,Ambiguous
Q13190,Ambiguous
Q9UBT7,Ambiguous
Q15149,Ambiguous
Q9UNN5,Ambiguous
Q9BTY7,Ambiguous
P78527,Ambiguous
P43357,Ambiguous
Q8TE02,Ambiguous
P08238,Ambiguous
P31350,Ambiguous
Q96IJ6,Ambiguous
Q05932,Ambiguous
Q9H2M9,Ambiguous
Q9NVM6,Ambiguous
P43360,Ambiguous
Q16512,Ambiguous
Q96KC2,Ambiguous
P68104,Ambiguous
O14818,Ambiguous
P34931,Ambiguous
P11441,Ambiguous
Q92616,Ambiguous
Q92796,Ambiguous
Q96SU4,Ambiguous
O95239,Ambiguous
Q9BZG1,Ambiguous
Q9H4L7,Ambiguous
P28482,Ambiguous
Q9UHX1,Ambiguous
P62310,Ambiguous
Q9Y371,Ambiguous
Q96P48,Ambiguous
Q13868,Ambiguous
Q99832,Ambiguous
P55884,Ambiguous
P27694,Ambiguous
P17858,Ambiguous
Q9NXH9,Ambiguous
P57076,Ambiguous
Q8TE77,Ambiguous
Q15024,Ambiguous
Q8WUD4,Ambiguous
Q9BW85,Ambiguous
Q96SI1,Ambiguous
Q7Z6B7,Ambiguous
P46379,Ambiguous
P25398,Ambiguous
A6NED2,Ambiguous
Q9UHD9,Ambiguous
Q8NBJ5,Ambiguous
Q96LA8,Ambiguous
P07900,Ambiguous
Q9BQA1,Ambiguous
P63208,Ambiguous
P47813,Ambiguous
Q9Y3D0,Ambiguous
P49458,Ambiguous
Q96SY0,Ambiguous
Q16656,Ambiguous
Q13263,Ambiguous
P53041,Ambiguous
O95166,Ambiguous
Q9NRY5,Ambiguous
O43924,Ambiguous
Q8TEB1,Ambiguous
Q96JH7,Ambiguous
Q6PFW1,Ambiguous
O60306,Ambiguous
Q12982,Ambiguous
Q9UPN3,Ambiguous
P61764,Ambiguous
P61086,Ambiguous
P39748,Ambiguous
Q5TBB1,Ambiguous
Q96CP2,Ambiguous
Q9Y315,Ambiguous
Q32P41,Ambiguous
Q8IWZ6,Ambiguous
Q9BYB4,Ambiguous
P51153,Ambiguous
Q6PGP7,Ambiguous
Q15365,Ambiguous
Q01813,Ambiguous
O43143,Ambiguous
P06730,Ambiguous
Q9BT78,Ambiguous
Q15369,Ambiguous
P11908,Ambiguous
O60671,Ambiguous
Q9NPA3,Ambiguous
P48200,Ambiguous
Q86UX6,Ambiguous
Q6ZMQ8,Ambiguous
Q9NSE4,Ambiguous
Q6ZSZ5,Ambiguous
Q9ULJ3,Ambiguous
Q9Y4C1,Ambiguous
P08107,Ambiguous
Q16576,Ambiguous
Q15645,Ambiguous
P33991,Ambiguous
Q9H444,Ambiguous
O14530,Ambiguous
Q96T76,Ambiguous
Q9Y6E2,Ambiguous
Q15833,Ambiguous
Q92989,Ambiguous
Q9HD26,Ambiguous
P62714,Ambiguous
O94952,Ambiguous
P49721,Ambiguous
P62829,Ambiguous
Q9UH65,Ambiguous
Q9Y606,Ambiguous
Q7Z7A3,Ambiguous
Q9NZZ3,Ambiguous
Q8IZ83,Ambiguous
Q96K21,Ambiguous
Q9Y2A7,Ambiguous
Q01658,Ambiguous
Q9NQZ5,Ambiguous
Q9HB71,Ambiguous
P50991,Ambiguous
Q04637,Ambiguous
P25685,Ambiguous
O60749,Ambiguous
P52789,Ambiguous
Q8NDC0,Ambiguous
P02792,Ambiguous
P09382,Ambiguous
Q7Z3T8,Ambiguous
Q9NVX2,Ambiguous
O95777,Ambiguous
Q8WVT3,Ambiguous
Q32P28,Ambiguous
O00471,Ambiguous
Q8TAG9,Ambiguous
Q9Y5X0,Ambiguous
Q8TCU6,Ambiguous
Q9Y576,Ambiguous
Q14689,Ambiguous
P13489,Ambiguous
P62316,Ambiguous
O95834,Ambiguous
Q9UKF6,Ambiguous
Q9UNE7,Ambiguous
Q5XPI4,Ambiguous
P51610,Ambiguous
Q12905,Ambiguous
Q8IU81,Ambiguous
O43149,Ambiguous
P50990,Ambiguous
P11586,Ambiguous
P28066,Ambiguous
P47712,Ambiguous
P50502,Ambiguous
P62333,Ambiguous
Q99439,Ambiguous
O00232,Ambiguous
O00487,Ambiguous
Q9ULT8,Ambiguous
O75116,Ambiguous
Q9HBL8,Ambiguous
Q5VZK9,Ambiguous
Q9UK76,Ambiguous
Q8N668,Ambiguous
O43852,Ambiguous
P61019,Ambiguous
Q9Y6W3,Ambiguous
P48059,Ambiguous
O00161,Ambiguous
O60293,Ambiguous
P63261,Ambiguous
P31948,Ambiguous
P61978,Ambiguous
Q58FF8,Ambiguous
O00231,Ambiguous
P51665,Ambiguous
P12956,Ambiguous
P62993,Ambiguous
Q9Y376,Ambiguous
O75935,Ambiguous
Q8TAT6,Ambiguous
Q9HD47,Ambiguous
P35573,Ambiguous
O14776,Ambiguous
O00141,Ambiguous
P30048,Ambiguous
O43264,Ambiguous
Q6ZUT9,Ambiguous
Q8IZ69,Ambiguous
O15056,Ambiguous
Q15370,Ambiguous
Q15366,Ambiguous
P33993,Ambiguous
Q7L5N1,Ambiguous
P07384,Ambiguous
O95747,Ambiguous
Q15008,Ambiguous
P49459,Ambiguous
P47897,Ambiguous
Q66K74,Ambiguous
Q9Y314,Ambiguous
P78346,Ambiguous
O60232,Ambiguous
Q15334,Ambiguous
Q96IZ0,Ambiguous
Q9Y2V7,Ambiguous
Q9P215,Ambiguous
O75417,Ambiguous
P26641,Ambiguous
P48643,Ambiguous
O43681,Ambiguous
P11172,Ambiguous
Q9UNM6,Ambiguous
P60709,Ambiguous
P62195,Ambiguous
Q14738,Ambiguous
P10809,Ambiguous
Q9UBW8,Ambiguous
Q93009,Ambiguous
P63167,Ambiguous
O00193,Ambiguous
Q9UQ80,Ambiguous
P42226,Ambiguous
Q05209,Ambiguous
P61106,Ambiguous
O94966,Ambiguous
Q9BS26,Ambiguous
Q9Y4B6,Ambiguous
Q9H7B4,Ambiguous
P07992,Ambiguous
Q96SN8,Ambiguous
Q14CX7,Ambiguous
P11021,Ambiguous
Q9UBQ0,Ambiguous
P54105,Ambiguous
P57737,Ambiguous
P27816,Ambiguous
P53365,Ambiguous
Q9BRT8,Ambiguous
Q9UP83,Ambiguous
Q9H3R5,Ambiguous
Q96KP1,Ambiguous
O14757,Ambiguous
Q13765,Ambiguous
Q9NUQ8,Ambiguous
Q16775,Ambiguous
Q9NR09,Ambiguous
P24941,Ambiguous
Q9NVE7,Ambiguous
Q9Y2L5,Ambiguous
O60447,Ambiguous
Q00341,Ambiguous
Q7L1Q6,Ambiguous
Q9UKN8,Ambiguous
Q16186,Ambiguous
Q7Z392,Ambiguous
Q6P3X3,Ambiguous
Q9H9F9,Ambiguous
Q9NWM0,Ambiguous
Q8NCM8,Ambiguous
Q9NP79,Ambiguous
O43765,Ambiguous
Q96A72,Ambiguous
P35813,Ambiguous
Q03169,Ambiguous
P29692,Ambiguous
P46940,Ambiguous
Q93045,Ambiguous
Q13620,Ambiguous
Q9H910,Ambiguous
Q9BTX7,Ambiguous
P54727,Ambiguous
Q96G03,Ambiguous
Q9H2G2,Ambiguous
Q9Y5K5,Ambiguous
Q9NPQ8,Ambiguous
Q7Z6J8,Ambiguous
Q8NFA0,Ambiguous
Q9BSL1,Ambiguous
P04075,Ambiguous
P42336,Ambiguous
Q8N1G2,Ambiguous
Q9H832,Ambiguous
Q7RTP6,Ambiguous
O60443,Ambiguous
O95433,Ambiguous
Q13177,Ambiguous
O95551,Ambiguous
Q9Y3Z3,Ambiguous
Q15907,Ambiguous
P28072,Ambiguous
Q15276,Ambiguous
P51148,Ambiguous
Q96EK5,Ambiguous
Q9H9E3,Ambiguous
Q9NVR5,Ambiguous
P13798,Ambiguous
Q9UNH7,Ambiguous
Q96QR8,Ambiguous
O95208,Ambiguous
Q96AE7,Ambiguous
Q9Y266,Ambiguous
P15927,Ambiguous
P13639,Ambiguous
P17980,Ambiguous
P33992,Ambiguous
P48594,Ambiguous
Q96G74,Ambiguous
Q9UBI1,Ambiguous
P36406,Ambiguous
Q6IA86,Ambiguous
Q13572,Ambiguous
Q96TA1,Ambiguous
Q13596,Ambiguous
P14735,Ambiguous
Q9GZT8,Ambiguous
Q9H0A8,Ambiguous
Q9H9Q2,Ambiguous
Q9H1H9,Ambiguous
Q9C0I1,Ambiguous
Q15185,Ambiguous
Q8IUD2,Ambiguous
Q15785,Ambiguous
Q96J01,Ambiguous
P07339,Ambiguous
Q9NVT9,Ambiguous
Q7Z4S6,Ambiguous
P25205,Ambiguous
Q16763,Ambiguous
Q8WXD5,Ambiguous
Q6UWE0,Ambiguous
Q8WVB6,Ambiguous
Q99961,Ambiguous
Q8NEL9,Ambiguous
Q13838,Ambiguous
Q9BRG1,Ambiguous
P20339,Ambiguous
O75818,Ambiguous
Q01082,Ambiguous
P06737,Ambiguous
P09972,Ambiguous
P61758,Ambiguous
Q92905,Ambiguous
Q14657,Ambiguous
P13010,Ambiguous
O75582,Ambiguous
P07237,Ambiguous
P35998,Ambiguous
O43617,Ambiguous
O43813,Ambiguous
Q12792,Ambiguous
Q14204,Ambiguous
Q9H2H8,Ambiguous
Q9UJA5,Ambiguous
O14802,Ambiguous
P61289,Ambiguous
O60763,Ambiguous
O75815,Ambiguous
Q9UM54,Ambiguous
Q7RTS9,Ambiguous
P49407,Ambiguous
P25789,Ambiguous
P25788,Ambiguous
P40763,Ambiguous
Q9BR76,Ambiguous
Q9Y508,Ambiguous
P61006,Ambiguous
Q8WW12,Ambiguous
Q15418,Ambiguous
P61163,Ambiguous
Q8NG08,Ambiguous
Q53T59,Ambiguous
Q15021,Ambiguous
Q96G04,Ambiguous
Q99836,Ambiguous
O00233,Ambiguous
P43686,Ambiguous
P62633,Ambiguous
Q9P258,Ambiguous
Q9UPT5,Ambiguous
O75044,Ambiguous
P28074,Ambiguous
P55036,Ambiguous
Q15796,Ambiguous
O75962,Ambiguous
Q02790,Ambiguous
P05455,Ambiguous
Q9H0U4,Ambiguous
O95456,Ambiguous
Q9BY42,Ambiguous
Q6PJG6,Ambiguous
P25786,Ambiguous
Q9UHY1,Ambiguous
Q2VPK5,Ambiguous
P98170,Ambiguous
P56537,Ambiguous
Q15293,Ambiguous
Q96PZ0,Ambiguous
Q567U6,Ambiguous
Q9Y4A5,Ambiguous
P60900,Ambiguous
Q14847,Ambiguous
P31751,Ambiguous
Q08209,Ambiguous
P61586,Ambiguous
P33176,Ambiguous
Q9Y4B5,Ambiguous
P37802,Ambiguous
P35221,Ambiguous
Q92990,Ambiguous
Q9UPU5,Ambiguous
O00429,Ambiguous
Q9Y5K6,Ambiguous
Q15208,Ambiguous
P22061,Ambiguous
O95347,Ambiguous
P23526,Ambiguous
Q9H2J4,Ambiguous
Q9H0B6,Ambiguous
P20290,Ambiguous
Q12965,Ambiguous
P18085,Ambiguous
Q86X55,Ambiguous
Q9P287,Ambiguous
P21291,Ambiguous
Q9H4M9,Ambiguous
Q9BUI4,Ambiguous
Q9NQT8,Ambiguous
P60953,Ambiguous
P62314,Ambiguous
P52701,Ambiguous
P41227,Ambiguous
Q9NZL4,Ambiguous
Q9NTJ3,Ambiguous
Q06124,Ambiguous
Q8TCE6,Ambiguous
Q96PE3,Ambiguous
P49588,Ambiguous
Q06203,Ambiguous
P48556,Ambiguous
Q9NWU2,Ambiguous
Q07864,Ambiguous
Q8N573,Ambiguous
Q06830,Ambiguous
Q01105,Ambiguous
P25787,Ambiguous
Q16401,Ambiguous
Q9UJU6,Ambiguous
Q6IBS0,Ambiguous
P11802,Ambiguous
Q9GZN8,Ambiguous
P09923,Ambiguous
Q13200,Ambiguous
Q16555,Ambiguous
Q9Y224,Ambiguous
Q5VU43,Ambiguous
P24534,Ambiguous
Q9UNZ2,Ambiguous
Q9Y5X3,Ambiguous
O75351,Ambiguous
Q6ZNJ1,Ambiguous
P20810,Ambiguous
Q9UJC3,Ambiguous
Q7Z406,Ambiguous
Q9BZZ5,Ambiguous
P00966,Ambiguous
Q15691,Ambiguous
P06753,Ambiguous
P16949,Ambiguous
Q9Y2X7,Ambiguous
O60879,Ambiguous
Q15527,Ambiguous
Q8N954,Ambiguous
Q99436,Ambiguous
Q96MW1,Ambiguous
Q13155,Ambiguous
Q9UI12,Ambiguous
P43490,Ambiguous
Q9BQ52,Ambiguous
Q9Y5Y2,Ambiguous
Q9Y3D8,Ambiguous
Q9NVI1,Ambiguous
Q14839,Ambiguous
O60664,Ambiguous
Q9BZX2,Ambiguous
P67936,Ambiguous
Q9Y570,Ambiguous
Q14320,Ambiguous
O14908,Ambiguous
Q9GZU8,Ambiguous
Q96H79,Ambiguous
Q9H3P7,Ambiguous
P29508,Ambiguous
Q9BUK6,Ambiguous
P50570,Ambiguous
Q15459,Ambiguous
O00148,Ambiguous
P04632,Ambiguous
P54578,Ambiguous
Q9Y5K8,Ambiguous
P22234,Ambiguous
P08243,Ambiguous
Q13867,Ambiguous
P51149,Ambiguous
Q9NP73,Ambiguous
P63241,Ambiguous
P40121,Ambiguous
P17931,Ambiguous
P41240,Ambiguous
Q9BRP4,Ambiguous
Q8NDH3,Ambiguous
Q8TB52,Ambiguous
P11413,Ambiguous
P36952,Ambiguous
Q14566,Ambiguous
P34896,Ambiguous
O00151,Ambiguous
Q15814,Ambiguous
Q9BXR0,Ambiguous
Q15642,Ambiguous
Q16719,Ambiguous
P20618,Ambiguous
P30622,Ambiguous
P51857,Ambiguous
P54725,Ambiguous
P04183,Ambiguous
Q15555,Ambiguous
O94808,Ambiguous
Q99575,Ambiguous
P00558,Ambiguous
P63000,Ambiguous
P62191,Ambiguous
Q9NTZ6,Ambiguous
Q9UI30,Ambiguous
Q9UBS0,Ambiguous
P35520,Ambiguous
O75223,Ambiguous
O15498,Ambiguous
Q9BTE3,Ambiguous
Q00535,Ambiguous
Q96BN8,Ambiguous
Q8WXX5,Ambiguous
Q08378,Ambiguous
P49327,Ambiguous
P26038,Ambiguous
P50995,Ambiguous
P60983,Ambiguous
Q13185,Ambiguous
Q04323,Ambiguous
P53602,Ambiguous
Q6NXE6,Ambiguous
Q99707,Ambiguous
Q15046,Ambiguous
O75153,Ambiguous
Q9UKB3,Ambiguous
Q9HA64,Ambiguous
P00338,Ambiguous
O75131,Ambiguous
Q9UGV2,Ambiguous
O75828,Ambiguous
Q92538,Ambiguous
Q7Z3U7,Ambiguous
P26640,Ambiguous
P43034,Ambiguous
Q00610,Ambiguous
Q14168,Ambiguous
Q9NWX5,Ambiguous
P04083,Ambiguous
P07195,Ambiguous
Q16881,Ambiguous
P49915,Ambiguous
P61081,Ambiguous
Q14697,Ambiguous
P62942,Ambiguous
Q92882,Ambiguous
Q15126,Ambiguous
A6NDU8,Ambiguous
P49914,Ambiguous
P23381,Ambiguous
O75083,Ambiguous
Q99460,Ambiguous
Q9BY43,Ambiguous
Q9H788,Ambiguous
O75533,Ambiguous
P53004,Ambiguous
Q9BPX3,Ambiguous
O60344,Ambiguous
Q8N5C7,Ambiguous
Q9NZW5,Ambiguous
P14618,Ambiguous
P29401,Ambiguous
P23528,Ambiguous
Q9BWD1,Ambiguous
P68133,Ambiguous
P61088,Ambiguous
Q9BV86,Ambiguous
Q969T9,Ambiguous
Q92530,Ambiguous
Q7Z5L9,Ambiguous
P41229,Ambiguous
P12268,Ambiguous
Q7Z6Z7,Ambiguous
P54819,Ambiguous
Q6P996,Ambiguous
Q07866,Ambiguous
P53611,Ambiguous
P35241,Ambiguous
Q4J6C6,Ambiguous
Q8WXH0,Ambiguous
P06733,Ambiguous
P26639,Ambiguous
P16152,Ambiguous
P10599,Ambiguous
O43598,Ambiguous
P35579,Ambiguous
Q9NQ88,Ambiguous
Q9BUL8,Ambiguous
P51812,Ambiguous
Q6L8Q7,Ambiguous
Q16831,Ambiguous
O15013,Ambiguous
Q9UHB4,Ambiguous
Q8WUM4,Ambiguous
Q9NR31,Ambiguous
Q96KB5,Ambiguous
O43847,Ambiguous
Q06210,Ambiguous
P19174,Ambiguous
P21283,Ambiguous
Q3B7T1,Ambiguous
Q13907,Ambiguous
P27695,Ambiguous
Q13564,Ambiguous
Q9P219,Ambiguous
Q13362,Ambiguous
Q7L8J4,Ambiguous
P31937,Ambiguous
A8K2U0,Ambiguous
Q96GX2,Ambiguous
Q9H7C9,Ambiguous
Q8TB40,Ambiguous
P00519,Ambiguous
Q99798,Ambiguous
Q4L235,Ambiguous
Q9H568,Ambiguous
P07311,Ambiguous
P14621,Ambiguous
Q6DHV7,Ambiguous
Q9BUB4,Ambiguous
Q7Z6V5,Ambiguous
Q96EY9,Ambiguous
P06280,Ambiguous
Q8N302,Ambiguous
Q9BQI0,Ambiguous
Q9H8T0,Ambiguous
Q60I27,Ambiguous
Q96BT7,Ambiguous
P30533,Ambiguous
Q6P6B7,Ambiguous
Q96NW4,Ambiguous
Q53RE8,Ambiguous
Q9NUS5,Ambiguous
Q9Y2Y0,Ambiguous
Q9HCE6,Ambiguous
Q15052,Ambiguous
O15085,Ambiguous
Q9NZN5,Ambiguous
Q96BM9,Ambiguous
Q7Z3E5,Ambiguous
Q9H981,Ambiguous
Q9ULH1,Ambiguous
Q9BZE9,Ambiguous
P20933,Ambiguous
Q8IUZ5,Ambiguous
Q9H0Y0,Ambiguous
Q8WYN0,Ambiguous
Q96DT6,Ambiguous
O00244,Ambiguous
Q92843,Ambiguous
O75531,Ambiguous
O95429,Ambiguous
Q8IXM2,Ambiguous
Q8NFC6,Ambiguous
P16278,Ambiguous
Q6QNY1,Ambiguous
P50747,Ambiguous
Q8WUW1,Ambiguous
Q07021,Ambiguous
Q9BV19,Ambiguous
Q8N6N3,Ambiguous
Q9BRK5,Ambiguous
P00915,Ambiguous
P00918,Ambiguous
O75808,Ambiguous
Q86UW7,Ambiguous
P42575,Ambiguous
Q92851,Ambiguous
P53634,Ambiguous
P07711,Ambiguous
Q8N8R5,Ambiguous
Q3KRA6,Ambiguous
P83916,Ambiguous
Q96JG6,Ambiguous
Q7Z3E2,Ambiguous
Q8IVM0,Ambiguous
Q96F63,Ambiguous
P24864,Ambiguous
Q8IWY9,Ambiguous
Q9BXL8,Ambiguous
Q86X02,Ambiguous
Q9BS16,Ambiguous
Q8N2Z9,Ambiguous
P41208,Ambiguous
Q96G28,Ambiguous
Q9BPX7,Ambiguous
Q96NL8,Ambiguous
Q9Y6H1,Ambiguous
Q86WJ1,Ambiguous
P15882,Ambiguous
O96017,Ambiguous
P35790,Ambiguous
Q9HD42,Ambiguous
Q14011,Ambiguous
Q96N23,Ambiguous
O95833,Ambiguous
Q9NZA1,Ambiguous
Q8IY22,Ambiguous
Q7Z624,Ambiguous
Q9BT09,Ambiguous
Q8N129,Ambiguous
Q9BV29,Ambiguous
P01031,Ambiguous
Q96BR5,Ambiguous
Q53SF7,Ambiguous
Q8WTW3,Ambiguous
Q96JB2,Ambiguous
Q96MW5,Ambiguous
Q9Y6G5,Ambiguous
Q9NQ92,Ambiguous
Q7Z7K0,Ambiguous
Q9BV73,Ambiguous
O14810,Ambiguous
Q9BRF8,Ambiguous
O75629,Ambiguous
Q9UBG3,Ambiguous
Q5BKX5,Ambiguous
O14936,Ambiguous
Q05048,Ambiguous
Q8WYA6,Ambiguous
P0CG13,Ambiguous
P26232,Ambiguous
Q9NTM9,Ambiguous
Q96F07,Ambiguous
Q14118,Ambiguous
Q5D0E6,Ambiguous
Q9UIK4,Ambiguous
Q8TCX1,Ambiguous
Q66K64,Ambiguous
Q9NXF7,Ambiguous
P17707,Ambiguous
Q9BVC3,Ambiguous
Q9BW61,Ambiguous
O94760,Ambiguous
Q9NX09,Ambiguous
O95786,Ambiguous
Q5T1V6,Ambiguous
Q6IQ26,Ambiguous
O76075,Ambiguous
Q86XP1,Ambiguous
Q7L7V1,Ambiguous
Q9UPY3,Ambiguous
Q9UBS4,Ambiguous
Q12959,Ambiguous
Q15398,Ambiguous
Q99543,Ambiguous
Q14185,Ambiguous
Q9H7D0,Ambiguous
Q9BZ29,Ambiguous
Q9Y3R5,Ambiguous
Q9UHL4,Ambiguous
Q6V1X1,Ambiguous
Q96FN9,Ambiguous
Q9UNI6,Ambiguous
Q6XUX3,Ambiguous
Q96FJ2,Ambiguous
Q16254,Ambiguous
P30084,Ambiguous
P42126,Ambiguous
O60869,Ambiguous
Q9NZN4,Ambiguous
Q96KQ7,Ambiguous
P41567,Ambiguous
Q96JJ3,Ambiguous
O43768,Ambiguous
Q9UM22,Ambiguous
Q9HCE0,Ambiguous
Q7L775,Ambiguous
Q9NZ08,Ambiguous
O43414,Ambiguous
P30042,Ambiguous
O95571,Ambiguous
Q92817,Ambiguous
Q9Y2D4,Ambiguous
Q9NV70,Ambiguous
Q8IYI6,Ambiguous
Q99504,Ambiguous
O95677,Ambiguous
Q9H098,Ambiguous
Q9P2D6,Ambiguous
Q05DH4,Ambiguous
Q8N612,Ambiguous
Q8TCP9,Ambiguous
Q9NX38,Ambiguous
Q16875,Ambiguous
P16930,Ambiguous
Q8NFF5,Ambiguous
Q6P587,Ambiguous
Q14289,Ambiguous
Q92636,Ambiguous
Q9HB96,Ambiguous
Q8NFZ0,Ambiguous
Q9UK22,Ambiguous
Q7Z6M2,Ambiguous
Q6PIJ6,Ambiguous
Q9UKT8,Ambiguous
O94868,Ambiguous
Q9BSK4,Ambiguous
P16591,Ambiguous
P98174,Ambiguous
Q6ZV73,Ambiguous
Q13642,Ambiguous
Q9Y613,Ambiguous
Q9Y3D6,Ambiguous
Q96AY3,Ambiguous
Q00688,Ambiguous
O95302,Ambiguous
Q8NFG4,Ambiguous
Q14315,Ambiguous
Q96PY5,Ambiguous
Q96RU3,Ambiguous
Q8N3X1,Ambiguous
Q8TF40,Ambiguous
Q8IX07,Ambiguous
O94915,Ambiguous
Q96AE4,Ambiguous
Q92945,Ambiguous
A2VDF0,Ambiguous
Q9NXK8,Ambiguous
Q9H469,Ambiguous
Q13283,Ambiguous
P32455,Ambiguous
Q96CN9,Ambiguous
Q6ZNW5,Ambiguous
Q9UJY5,Ambiguous
Q9BVM4,Ambiguous
Q8IVV7,Ambiguous
Q9H4A5,Ambiguous
P35754,Ambiguous
Q9NS18,Ambiguous
P04899,Ambiguous
P08754,Ambiguous
P15586,Ambiguous
Q14789,Ambiguous
Q9H4A6,Ambiguous
Q9NPB8,Ambiguous
P81274,Ambiguous
P32298,Ambiguous
Q9HAV7,Ambiguous
Q96GX5,Ambiguous
Q96EW2,Ambiguous
Q99714,Ambiguous
Q16836,Ambiguous
Q9BSH5,Ambiguous
Q9Y4D8,Ambiguous
P36551,Ambiguous
Q5T8I9,Ambiguous
Q9UII4,Ambiguous
P06865,Ambiguous
A2PYH4,Ambiguous
Q53FT3,Ambiguous
O75146,Ambiguous
P05204,Ambiguous
P32754,Ambiguous
P53816,Ambiguous
Q0VDF9,Ambiguous
Q9BUP3,Ambiguous
P19367,Ambiguous
Q5T013,Ambiguous
Q9NX55,Ambiguous
Q9H1B7,Ambiguous
P32019,Ambiguous
P48735,Ambiguous
O00425,Ambiguous
O43432,Ambiguous
Q9BYX4,Ambiguous
Q9H7X7,Ambiguous
P01834,Ambiguous
Q13418,Ambiguous
Q9P2X3,Ambiguous
Q9GZP8,Ambiguous
Q68E01,Ambiguous
Q9NVH2,Ambiguous
Q96DU7,Ambiguous
Q9NWZ3,Ambiguous
Q9UQF2,Ambiguous
Q9H9V9,Ambiguous
P0C870,Ambiguous
Q8N9B5,Ambiguous
Q8TAC2,Ambiguous
Q7Z7F0,Ambiguous
Q9UIJ7,Ambiguous
P27144,Ambiguous
P22612,Ambiguous
Q8IY47,Ambiguous
Q8NAB2,Ambiguous
Q9NVX7,Ambiguous
Q8IU85,Ambiguous
Q719H9,Ambiguous
Q7L273,Ambiguous
Q7Z4H8,Ambiguous
O75164,Ambiguous
Q63HM1,Ambiguous
Q96L93,Ambiguous
P46013,Ambiguous
Q02241,Ambiguous
Q9BW19,Ambiguous
Q96RR4,Ambiguous
Q9NVR0,Ambiguous
Q8IXQ5,Ambiguous
P50748,Ambiguous
P46019,Ambiguous
O94806,Ambiguous
O75676,Ambiguous
Q96S38,Ambiguous
O15230,Ambiguous
P11047,Ambiguous
P42167,Ambiguous
P53667,Ambiguous
O75145,Ambiguous
P20700,Ambiguous
Q15048,Ambiguous
Q8TCA0,Ambiguous
Q96CN5,Ambiguous
Q9Y608,Ambiguous
Q38SD2,Ambiguous
Q9Y4Y9,Ambiguous
O94822,Ambiguous
P10253,Ambiguous
O95382,Ambiguous
Q5TCX8,Ambiguous
Q12851,Ambiguous
P23368,Ambiguous
P53582,Ambiguous
Q9NR56,Ambiguous
O15068,Ambiguous
Q9Y6D9,Ambiguous
Q9UI95,Ambiguous
Q9NU22,Ambiguous
Q9P086,Ambiguous
Q96RN5,Ambiguous
Q71SY5,Ambiguous
Q9Y3C7,Ambiguous
Q5JPI9,Ambiguous
Q96IZ6,Ambiguous
Q99685,Ambiguous
A9UHW6,Ambiguous
Q86YT6,Ambiguous
Q96DM3,Ambiguous
Q8TDZ2,Ambiguous
Q8N3F8,Ambiguous
Q9UNW1,Ambiguous
P45983,Ambiguous
Q9HBH9,Ambiguous
Q9Y4U1,Ambiguous
Q6ZRQ5,Ambiguous
Q9H3H1,Ambiguous
Q9Y605,Ambiguous
Q14149,Ambiguous
O75970,Ambiguous
Q9NYP9,Ambiguous
